Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under
9378;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;goral;;Naemorhedus goral;(Hardwicke, 1825);SPECIES;I;;Naemorhedus goral
6231;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;griseus;;Naemorhedus griseus;(Milne Edwards, 1871);SPECIES;I;;Naemorhedus griseus
10002;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Nanger;dama;;Nanger dama;(Pallas, 1766);SPECIES;I;;Nanger dama
11205;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;dammah;;Oryx dammah;(Cretzschmar, 1827);SPECIES;I;;Oryx dammah
4154;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;leucoryx;;Oryx leucoryx;(Pallas, 1777);SPECIES;I;;Oryx leucoryx
7093;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;;Ovis ammon;(Linnaeus, 1758);SPECIES;II;;Ovis ammon
12287;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;hodgsonii;Ovis ammon hodgsonii;Blyth, 1841;SUBSPECIES;I;;Ovis ammon hodgsonii
12262;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;nigrimontana;Ovis ammon nigrimontana;Severtzov, 1873;SUBSPECIES;I;;Ovis ammon nigrimontana
3036;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;canadensis;;Ovis canadensis;Shaw, 1804;SPECIES;II;;Ovis canadensis
12170;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;orientalis;ophion;Ovis orientalis ophion;Blyth, 1841;SUBSPECIES;I;;Ovis orientalis ophion
4814;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;vignei;;Ovis vignei;Blyth, 1841;SPECIES;II;;Ovis vignei
12322;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;vignei;vignei;Ovis vignei vignei;Blyth, 1841;SUBSPECIES;I;;Ovis vignei vignei
8117;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pantholops;hodgsonii;;Pantholops hodgsonii;(Abel, 1826);SPECIES;I;;Pantholops hodgsonii
9997;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Philantomba;monticola;;Philantomba monticola;(Thunberg, 1789);SPECIES;II;;Philantomba monticola
65584;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudois;nayaur;;Pseudois nayaur;(Hodgson, 1833);SPECIES;III;PK;Pseudois nayaur
10395;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudoryx;nghetinhensis;;Pseudoryx nghetinhensis;Dung, Giao, Chinh, Touc, Arctander & MacKinnon, 1993;SPECIES;I;;Pseudoryx nghetinhensis
12328;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Rupicapra;pyrenaica;ornata;Rupicapra pyrenaica ornata;Neumann, 1899;SUBSPECIES;II;;Rupicapra pyrenaica ornata
9751;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;borealis;;Saiga borealis;(Tschersky, 1876);SPECIES;II;;Saiga borealis
8765;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;tatarica;;Saiga tatarica;(Linnaeus, 1766);SPECIES;II;;Saiga tatarica
9831;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Tetracerus;quadricornis;;Tetracerus quadricornis;(de Blainville, 1816);SPECIES;III;NP;Tetracerus quadricornis
10716;Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Lama;guanicoe;;Lama guanicoe;(P. L. S. Müller, 1776);SPECIES;II;;Lama guanicoe
3436;Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Vicugna;vicugna;;Vicugna vicugna;(Molina, 1782);SPECIES;I/II;;Vicugna vicugna
4889;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;calamianensis;;Axis calamianensis;(Heude, 1888);SPECIES;I;;Axis calamianensis
10380;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;kuhlii;;Axis kuhlii;(Temminck, 1836);SPECIES;I;;Axis kuhlii
3218;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;;Axis porcinus;(Zimmermann, 1780);SPECIES;III;PK;Axis porcinus
12317;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;annamiticus;Axis porcinus annamiticus;(Heude, 1888);SUBSPECIES;I;;Axis porcinus annamiticus
3625;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Blastocerus;dichotomus;;Blastocerus dichotomus;(Illiger, 1815);SPECIES;I;;Blastocerus dichotomus
12260;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;bactrianus;Cervus elaphus bactrianus;Lydekker, 1900;SUBSPECIES;II;;Cervus elaphus bactrianus
12327;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;barbarus;Cervus elaphus barbarus;Bennett, 1833;SUBSPECIES;III;DZ,TN;Cervus elaphus barbarus
12225;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;hanglu;Cervus elaphus hanglu;Wagner, 1844;SUBSPECIES;I;;Cervus elaphus hanglu
12218;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Dama;dama;mesopotamica;Dama dama mesopotamica;;SUBSPECIES;I;;Dama dama mesopotamica
9206;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;antisensis;;Hippocamelus antisensis;(d'Orbigny, 1834);SPECIES;I;;Hippocamelus spp.
10636;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;bisulcus;;Hippocamelus bisulcus;(Molina, 1782);SPECIES;I;;Hippocamelus spp.
12217;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Mazama;temama;cerasina;Mazama temama cerasina;Hollister, 1914;SUBSPECIES;III;GT;Mazama temama cerasina
8941;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;crinifrons;;Muntiacus crinifrons;(Sclater, 1885);SPECIES;I;;Muntiacus crinifrons
5052;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;vuquanghensis;;Muntiacus vuquanghensis;(Tuoc, Dung, Dawson, Arctander & MacKinnon, 1994);SPECIES;I;;Muntiacus vuquanghensis
12333;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Odocoileus;virginianus;mayensis;Odocoileus virginianus mayensis;?;SUBSPECIES;III;GT;Odocoileus virginianus mayensis
8832;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Ozotoceros;bezoarticus;;Ozotoceros bezoarticus;(Linnaeus, 1758);SPECIES;I;;Ozotoceros bezoarticus
5742;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;mephistophiles;;Pudu mephistophiles;(de Winton, 1896);SPECIES;II;;Pudu mephistophiles
10291;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;puda;;Pudu puda;(Molina, 1782);SPECIES;I;;Pudu puda
10612;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;duvaucelii;;Rucervus duvaucelii;(G. Cuvier, 1823);SPECIES;I;;Rucervus duvaucelii
4547;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;eldii;;Rucervus eldii;(McClelland, 1842);SPECIES;I;;Rucervus eldii
11049;Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hexaprotodon;liberiensis;;Hexaprotodon liberiensis;(Morton, 1849);SPECIES;II;;Hexaprotodon liberiensis
9229;Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hippopotamus;amphibius;;Hippopotamus amphibius;Linnaeus, 1758;SPECIES;II;;Hippopotamus amphibius
4120;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;anhuiensis;;Moschus anhuiensis;Wang, Hu & Yan, 1982;SPECIES;II;;Moschus spp.
9114;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;berezovskii;;Moschus berezovskii;Flerov, 1929;SPECIES;II;;Moschus spp.
9271;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;chrysogaster;;Moschus chrysogaster;(Hodgson, 1839);SPECIES;I/II;;Moschus spp.
8689;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;cupreus;;Moschus cupreus;Grubb, 1982;SPECIES;I;;Moschus spp.
9694;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;fuscus;;Moschus fuscus;Li, 1981;SPECIES;I/II;;Moschus spp.
10323;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;leucogaster;;Moschus leucogaster;Hodgson, 1839;SPECIES;I;;Moschus spp.
5311;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;moschiferus;;Moschus moschiferus;Linnaeus, 1758;SPECIES;II;;Moschus spp.
3372;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;babyrussa;;Babyrousa babyrussa;(Linnaeus, 1758);SPECIES;I;;Babyrousa babyrussa
8703;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;bolabatuensis;;Babyrousa bolabatuensis;Hoojer, 1950;SPECIES;I;;Babyrousa bolabatuensis
7226;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;celebensis;;Babyrousa celebensis;(Deninger, 1909);SPECIES;I;;Babyrousa celebensis
6992;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;togeanensis;;Babyrousa togeanensis;(Sody, 1949);SPECIES;I;;Babyrousa togeanensis
7791;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;salvanius;;Sus salvanius;(Hodgson, 1847);SPECIES;I;;Sus salvanius
8725;Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Catagonus;wagneri;;Catagonus wagneri;(Rusconi, 1930);SPECIES;I;;Catagonus wagneri
8246;Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Pecari;tajacu;;Pecari tajacu;(Linnaeus, 1758);SPECIES;II;;Pecari tajacu
5827;Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Tayassu;pecari;;Tayassu pecari;(Link, 1795);SPECIES;II;;Tayassuidae spp.
7583;Animalia;Chordata;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;;Ailurus fulgens;F. G. Cuvier, 1825;SPECIES;I;;Ailurus fulgens
9412;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;aureus;;Canis aureus;Linnaeus, 1758;SPECIES;III;IN;Canis aureus
4442;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;lupus;;Canis lupus;Linnaeus, 1758;SPECIES;I/II;;Canis lupus
5656;Animalia;Chordata;Mammalia;Carnivora;Canidae;Cerdocyon;thous;;Cerdocyon thous;(Linnaeus, 1766);SPECIES;II;;Cerdocyon thous
6975;Animalia;Chordata;Mammalia;Carnivora;Canidae;Chrysocyon;brachyurus;;Chrysocyon brachyurus;(Illiger, 1815);SPECIES;II;;Chrysocyon brachyurus
